ID,noweight,DOB,admin_date,gender,educ,ethnic,region,demo_wt,sege_sum,sege_sum_w,rlne_sum,rlne_sum_w,rhme_sum,rhme_sum_w,snwe_sum,snwe_sum_w,lswe_sum,lswe_sum_w,lske_sum,lske_sum_w
207030,,8/18/2014,8/28/2019,male,no_college,black,midwest_west,0.8644287053806907,5,4,21,14,1,1,1,1,13,8,5,3
207031,,5/6/2013,8/27/2019,male,college_plus,black,midwest_west,0.7118584229220695,12,7,53,28,22,11,17,9,31,16,23,12
207032,,2/21/2013,8/26/2019,female,no_college,black,midwest_west,0.8090317437965512,13,9,58,35,18,11,19,11,33,20,23,14
208001,,7/3/2012,3/29/2019,male,no_college,black,northeast_south,0.9929471410719494,11,9,21,16,7,5,16,12,17,12,18,13
208011,,6/1/2013,4/18/2019,male,no_college,black,northeast_south,0.9929471410719494,2,2,20,15,6,4,11,8,12,9,18,13
209019,1,10/15/2013,11/25/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,19,16,42,31,4,3,14,10,15,11,23,17
210001,,3/1/2012,5/30/2019,male,college_plus,hispanic,northeast_south,0.9551728082406651,19,15,78,56,29,20,29,20,37,26,33,23
210016,,9/5/2012,6/24/2019,male,college_plus,hispanic,northeast_south,0.9551728082406651,20,16,87,62,19,13,20,14,31,22,32,22
210018,,8/28/2012,6/26/2019,male,college_plus,hispanic,northeast_south,0.9551728082406651,22,17,90,64,23,16,24,17,37,26,33,23
210039,,7/18/2014,8/18/2019,male,no_college,hispanic,northeast_south,1.1598918653698476,1,1,55,48,3,3,6,5,12,10,7,6
210044,,12/3/2013,8/26/2019,female,college_plus,hispanic,northeast_south,0.8939605057859238,15,11,65,44,6,4,17,11,17,11,28,18
211008,,10/16/2012,6/10/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,6,5,58,43,26,19,19,14,29,21,31,22
211043,,8/10/2013,7/22/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,12,9,53,36,28,19,11,7,18,12,21,14
211056,,7/30/2012,7/30/2019,male,no_college,white_asian_other,midwest_west,1.1906459631320008,15,15,49,44,29,25,19,17,33,29,30,26
211057,,1/24/2012,7/31/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,25,20,73,54,26,19,28,20,37,27,32,23
211072,,10/9/2012,8/3/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,15,12,35,26,21,15,11,8,11,8,14,10
211073,,10/21/2012,8/6/2019,male,college_plus,hispanic,midwest_west,0.8315435534170977,24,17,58,36,30,18,27,16,34,21,32,19
212001,,3/9/2012,6/21/2019,female,no_college,black,midwest_west,0.8090317437965512,15,10,28,17,14,8,13,8,22,13,24,14
213003,,4/15/2013,7/8/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,14,11,55,38,7,5,10,7,15,10,19,13
213009,,3/13/2014,7/5/2019,male,college_plus,hispanic,midwest_west,0.8315435534170977,13,9,56,35,7,4,10,6,11,7,22,13
213010,,4/1/2013,7/6/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,21,16,73,50,26,17,17,11,25,17,28,19
213013,,2/28/2012,7/20/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,19,17,78,62,28,22,14,11,32,25,32,25
213016,,9/18/2012,8/22/2019,female,college_plus,black,midwest_west,0.6662389363611814,19,11,26,13,15,7,15,7,22,11,20,10
213019,,8/24/2013,9/22/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,1,1,58,43,23,16,19,14,26,19,22,16
214001,,12/28/2010,4/17/2019,female,college_plus,hispanic,northeast_south,0.8939605057859238,18,13,87,58,25,16,26,17,37,24,33,22
214002,,6/28/2012,4/17/2019,female,college_plus,hispanic,northeast_south,0.8939605057859238,14,10,77,52,27,18,24,16,35,23,33,22
214003,,2/15/2012,4/17/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,18,17,79,67,22,18,20,16,35,29,29,24
214004,,2/13/2011,4/17/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,18,16,88,70,21,16,17,13,32,25,29,22
214005,,4/4/2011,4/17/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,19,17,79,62,15,12,21,16,36,28,33,25
214006,1,3/8/2011,3/14/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,22,18,108,81,28,20,27,20,37,27,33,24
214016,,1/2/2012,5/21/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,18,17,77,65,22,18,24,20,37,30,31,26
214025,,9/26/2012,5/28/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,19,17,60,47,24,18,25,19,36,28,29,22
214027,1,1/25/2011,5/29/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,24,20,78,58,29,21,28,20,36,26,33,24
214033,,7/20/2012,5/30/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,18,16,63,50,22,17,13,10,20,15,26,20
214039,1,10/29/2010,6/7/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,20,17,75,56,22,16,17,12,37,27,33,24
214046,,11/2/2010,6/14/2019,male,college_plus,hispanic,northeast_south,0.9551728082406651,20,16,89,64,27,19,27,19,36,25,33,23
214054,,7/25/2013,10/5/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,20,19,36,30,21,17,18,15,22,18,28,23
214055,,7/25/2013,10/5/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,16,15,59,50,15,12,17,14,22,18,28,23
214057,,9/15/2013,10/4/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,7,6,33,26,6,5,5,4,8,6,9,7
214059,,11/2/2012,10/13/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,20,19,94,79,27,22,26,21,36,30,33,27
214062,,9/20/2013,10/14/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,14,12,60,47,18,14,15,12,20,15,28,22
214064,,7/7/2014,10/20/2019,female,college_plus,hispanic,northeast_south,0.8939605057859238,19,14,30,20,24,16,17,11,16,10,26,17
214065,,6/3/2013,10/25/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,14,13,48,41,16,13,17,14,17,14,26,21
214066,,1/17/2014,10/25/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,10,9,43,34,7,5,12,9,11,8,13,10
214071,,8/12/2013,11/16/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,7,7,50,42,17,14,10,8,15,12,23,19
214073,1,1/31/2013,11/14/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,10,8,55,41,6,4,11,8,14,10,22,16
215002,,6/10/2013,3/26/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,20,18,85,67,14,11,16,12,28,22,25,19
217001,,12/25/2012,4/1/2019,male,no_college,black,northeast_south,0.9929471410719494,1,1,23,17,5,4,10,7,11,8,14,10
217003,,2/26/2012,5/2/2019,male,college_plus,black,northeast_south,0.8176935604853233,16,11,52,32,16,10,13,8,17,10,21,13
217005,,8/25/2012,4/25/2019,male,no_college,black,northeast_south,0.9929471410719494,11,9,22,16,5,4,11,8,17,12,12,9
217006,,4/28/2011,5/1/2019,male,no_college,black,northeast_south,0.9929471410719494,13,11,44,33,22,16,23,17,31,23,21,15
217007,,12/17/2011,5/2/2019,male,no_college,white_asian_other,northeast_south,1.3676645601445174,19,22,62,64,23,23,21,21,35,35,27,27
217008,,9/19/2011,4/29/2019,male,no_college,white_asian_other,northeast_south,1.3676645601445174,19,22,62,64,25,25,32,32,38,38,33,33
217011,,1/17/2011,4/24/2019,male,no_college,black,northeast_south,0.9929471410719494,3,2,64,48,26,19,18,13,36,26,29,21
217012,,12/13/2010,4/25/2019,female,no_college,white_asian_other,northeast_south,1.2800177008642613,17,18,38,36,19,18,17,16,28,26,20,19
217013,,3/31/2011,5/2/2019,male,college_plus,black,northeast_south,0.8176935604853233,17,12,27,17,20,12,19,11,19,11,22,13
218001,,5/22/2013,3/16/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,22,14,61,36,17,10,17,10,19,11,29,17
220003,,7/7/2013,4/9/2019,male,no_college,black,midwest_west,0.8644287053806907,5,4,29,19,5,3,13,8,16,10,11,7
220004,1,11/19/2012,4/4/2019,male,no_college,black,midwest_west,0.8644287053806907,10,8,35,26,17,12,12,9,18,13,24,18
220007,,8/28/2012,3/28/2019,female,no_college,black,midwest_west,0.8090317437965512,6,4,48,29,19,11,14,8,28,17,20,12
220008,,10/26/2011,3/15/2019,female,no_college,black,midwest_west,0.8090317437965512,17,11,50,30,7,4,14,8,18,11,17,10
220010,,9/15/2012,3/14/2019,male,college_plus,black,midwest_west,0.7118584229220695,13,8,48,26,18,9,18,9,19,10,31,16
220011,1,6/21/2011,3/27/2019,male,college_plus,black,midwest_west,0.7118584229220695,20,17,53,40,18,13,17,12,35,26,32,23
220015,,7/8/2011,3/27/2019,male,college_plus,black,midwest_west,0.7118584229220695,18,11,73,39,28,15,18,9,37,19,30,16
222029,,1/30/2011,6/13/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,19,17,85,67,30,23,28,22,37,29,33,25
223003,,12/27/2010,3/14/2019,male,no_college,hispanic,northeast_south,1.1598918653698476,21,20,78,68,23,20,20,17,37,31,33,28
225001,,9/5/2013,3/24/2019,male,college_plus,hispanic,midwest_west,0.8315435534170977,15,10,68,42,3,2,12,7,21,13,21,13
225002,,8/1/2013,3/24/2019,male,college_plus,hispanic,midwest_west,0.8315435534170977,22,15,71,44,5,3,17,10,24,15,24,15
225003,,6/13/2013,3/26/2019,male,college_plus,hispanic,midwest_west,0.8315435534170977,18,12,66,41,4,2,18,11,26,16,22,13
225004,,4/9/2013,3/26/2019,male,college_plus,hispanic,midwest_west,0.8315435534170977,19,13,66,41,8,5,16,10,22,13,23,14
225008,,3/3/2012,5/5/2019,male,no_college,hispanic,midwest_west,1.0097655575913482,11,9,58,44,16,12,10,7,30,22,28,21
226001,,6/13/2013,3/14/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,1,1,46,34,4,3,14,10,17,12,20,14
226002,1,7/6/2013,3/18/2019,male,no_college,hispanic,midwest_west,1.0097655575913482,3,2,56,42,2,1,17,12,19,14,19,14
226003,,8/26/2012,4/12/2019,female,no_college,hispanic,midwest_west,0.9450546757630534,18,14,51,36,5,3,13,9,16,11,22,15
226004,,8/8/2013,4/12/2019,male,no_college,black,midwest_west,0.8644287053806907,12,9,35,23,2,1,12,8,15,9,26,16
226005,,3/12/2013,4/12/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,19,14,42,29,26,17,18,12,16,11,22,15
226006,,6/30/2013,3/18/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,22,14,53,31,15,9,16,9,18,10,29,17
226007,,2/11/2013,3/14/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,20,15,57,39,10,7,16,11,21,14,28,19
226008,1,9/7/2011,3/18/2019,male,no_college,black,midwest_west,0.8644287053806907,17,14,72,54,13,10,13,10,26,19,31,23
226010,,7/2/2013,3/22/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,17,13,50,34,16,11,15,10,23,15,31,21
226011,1,1/25/2013,4/18/2019,male,no_college,black,midwest_west,0.8644287053806907,10,8,60,45,14,10,7,5,11,8,10,7
226053,,7/17/2014,7/18/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,9,7,22,16,6,4,4,3,6,4,8,6
226054,1,1/17/2014,7/12/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,13,11,35,26,21,15,11,8,13,10,19,14
226055,,6/8/2011,7/20/2019,male,college_plus,black,midwest_west,0.7118584229220695,23,14,71,38,19,10,15,8,27,14,26,14
226056,,6/23/2013,7/17/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,22,17,82,56,24,16,29,19,37,25,32,21
226057,,5/28/2014,7/29/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,19,14,50,34,19,13,15,10,24,16,25,17
226058,,3/24/2014,7/31/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,16,12,53,36,10,7,14,9,10,7,15,10
226059,,11/1/2011,7/31/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,23,18,60,41,23,15,28,19,37,25,33,22
226060,1,10/17/2013,8/1/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,14,12,44,33,25,18,6,4,8,6,16,12
231014,1,5/22/2012,4/17/2019,male,college_plus,black,northeast_south,0.8176935604853233,3,2,20,15,18,13,2,1,21,15,,
231015,1,5/2/2012,4/17/2019,female,college_plus,hispanic,northeast_south,0.8939605057859238,2,2,11,8,1,1,1,1,9,7,1,1
232003,,10/4/2012,5/28/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,20,13,52,30,6,3,13,7,17,10,20,11
232004,,1/12/2011,6/3/2019,male,college_plus,hispanic,midwest_west,0.8315435534170977,22,15,92,57,26,16,28,17,37,22,33,20
232005,,6/5/2013,5/11/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,12,10,41,30,3,2,12,9,15,11,8,6
232006,,3/1/2013,6/17/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,19,14,41,28,6,4,13,9,15,10,19,13
232025,,7/9/2013,5/19/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,15,11,35,24,8,5,12,8,14,9,20,13
232026,,12/22/2011,5/19/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,22,17,81,56,24,16,18,12,32,21,29,19
232030,,9/7/2011,6/18/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,23,15,86,50,24,14,23,13,37,21,32,18
232054,,4/12/2013,9/15/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,19,15,59,43,18,13,14,10,18,13,23,16
232055,,5/14/2014,9/8/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,14,11,63,46,14,10,13,9,14,10,18,13
232056,,5/14/2013,10/15/2019,male,no_college,hispanic,midwest_west,1.0097655575913482,21,18,26,20,9,7,10,7,13,10,13,10
232065,,1/13/2012,9/14/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,20,13,50,29,19,11,19,11,35,20,30,17
234001,,6/4/2011,4/23/2019,female,no_college,hispanic,northeast_south,1.0855601307713854,21,19,68,55,17,13,22,17,33,26,31,25
234004,,8/29/2011,4/22/2019,male,no_college,black,northeast_south,0.9929471410719494,19,16,82,61,26,19,30,22,36,26,32,23
234007,,12/8/2011,4/22/2019,female,no_college,hispanic,northeast_south,1.0855601307713854,19,17,105,85,26,21,29,23,38,30,32,25
234010,,4/21/2011,4/22/2019,female,no_college,white_asian_other,northeast_south,1.2800177008642613,23,24,70,67,24,22,21,20,34,32,33,31
234012,,3/15/2011,4/22/2019,male,no_college,black,northeast_south,0.9929471410719494,20,17,94,70,19,14,19,14,33,24,30,22
234023,,5/29/2012,4/24/2019,male,no_college,white_asian_other,northeast_south,1.3676645601445174,20,23,84,86,22,22,27,27,36,36,31,31
234024,1,4/13/2012,4/23/2019,female,no_college,hispanic,northeast_south,1.0855601307713854,21,17,69,52,24,18,17,12,20,15,29,21
234025,,4/17/2012,4/23/2019,female,no_college,black,northeast_south,0.9293140684001902,20,15,92,64,23,16,27,18,36,24,32,22
234026,,2/14/2012,4/24/2019,female,no_college,black,northeast_south,0.9293140684001902,19,15,85,59,17,12,19,13,35,24,30,20
234028,,6/11/2012,4/24/2019,female,no_college,hispanic,northeast_south,1.0855601307713854,21,19,78,63,8,6,15,12,26,21,30,24
234029,1,11/11/2012,4/24/2019,female,college_plus,black,northeast_south,0.7652916232569021,20,17,89,67,20,15,17,12,31,23,29,21
234030,,7/11/2012,4/26/2019,female,no_college,hispanic,northeast_south,1.0855601307713854,20,18,80,65,22,17,16,13,27,21,30,24
234031,,4/13/2012,4/26/2019,male,no_college,hispanic,northeast_south,1.1598918653698476,20,19,56,49,13,11,18,15,22,19,30,25
234032,,2/4/2013,5/1/2019,female,no_college,black,northeast_south,0.9293140684001902,15,12,34,24,15,10,10,7,13,9,25,17
234033,1,1/19/2013,5/1/2019,male,no_college,black,northeast_south,0.9929471410719494,15,12,36,27,19,14,8,6,14,10,5,4
234034,,11/15/2013,5/1/2019,female,no_college,hispanic,northeast_south,1.0855601307713854,19,17,57,46,21,17,10,8,14,11,25,20
234035,,4/14/2013,5/1/2019,male,no_college,hispanic,northeast_south,1.1598918653698476,11,11,38,33,4,3,12,10,18,15,13,11
234045,1,5/21/2011,4/26/2019,female,no_college,hispanic,northeast_south,1.0855601307713854,21,17,59,44,22,16,20,15,35,26,32,23
234046,1,8/12/2011,4/26/2019,male,no_college,hispanic,northeast_south,1.1598918653698476,19,16,97,73,19,14,27,20,36,26,33,24
235003,,8/3/2012,4/18/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,17,13,92,63,21,14,16,11,32,21,28,19
235004,,8/3/2012,4/18/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,19,15,79,58,15,11,16,11,28,20,28,20
235005,,12/17/2010,4/14/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,23,15,88,51,26,15,30,17,36,20,32,18
238002,1,5/4/2012,6/2/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,22,18,84,63,30,22,28,20,36,26,32,23
240002,,4/2/2013,4/28/2019,female,no_college,white_asian_other,northeast_south,1.2800177008642613,21,22,88,84,29,27,20,19,32,30,30,28
240003,,3/29/2013,5/10/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,12,11,62,49,24,18,20,15,33,25,29,22
240020,,10/31/2013,12/6/2019,female,no_college,white_asian_other,northeast_south,1.2800177008642613,1,1,41,39,3,3,10,9,10,9,18,17
240021,1,3/14/2014,12/6/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,14,12,68,51,18,13,11,8,13,10,15,11
240022,,1/11/2013,12/6/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,5,5,33,28,2,2,9,7,14,12,11,9
240023,,6/22/2014,12/6/2019,male,no_college,white_asian_other,northeast_south,1.3676645601445174,1,1,45,46,18,18,9,9,14,14,21,21
240036,1,3/4/2014,12/6/2019,male,no_college,white_asian_other,northeast_south,1.3676645601445174,2,2,41,31,2,1,8,6,13,10,11,8
240037,1,3/29/2012,12/6/2019,male,no_college,white_asian_other,northeast_south,1.3676645601445174,15,12,90,67,21,15,16,12,30,22,26,19
240038,1,8/29/2013,12/12/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,13,11,41,31,4,3,9,7,12,9,9,7
240039,,12/12/2012,1/17/2020,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,18,17,56,47,24,20,17,14,20,16,30,25
240040,,2/2/2013,1/17/2020,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,23,22,102,86,9,7,23,19,37,30,31,26
241007,1,6/14/2013,4/26/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,1,1,25,19,18,13,11,8,14,10,17,12
241018,1,7/18/2013,5/16/2019,male,college_plus,hispanic,midwest_west,0.8315435534170977,1,1,16,12,4,3,4,3,8,6,4,3
241019,,10/9/2011,5/22/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,19,15,64,47,16,11,23,16,32,23,30,22
241021,,2/8/2013,5/24/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,15,11,64,44,15,10,16,11,17,11,26,17
241023,,6/26/2012,6/6/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,22,18,107,79,30,22,23,16,36,26,33,24
241025,,2/8/2013,6/11/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,23,19,64,47,21,15,17,12,29,21,29,21
241027,,12/18/2012,6/15/2019,male,college_plus,white_asian_other,midwest_west,0.9804988569883356,19,15,84,62,4,3,13,9,28,20,25,18
241029,1,8/19/2012,6/17/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,19,16,37,28,24,18,10,7,18,13,26,19
243022,,4/10/2012,8/3/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,14,13,44,37,16,13,16,13,17,14,21,17
243026,,5/2/2013,8/9/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,18,17,47,40,17,14,21,17,25,21,26,21
243034,,2/13/2012,12/30/2019,female,no_college,white_asian_other,northeast_south,1.2800177008642613,23,24,52,50,30,28,25,23,36,34,33,31
248038,,1/16/2013,9/28/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,16,12,51,35,20,13,18,12,24,16,27,18
248052,1,8/23/2012,3/11/2020,female,no_college,white_asian_other,midwest_west,1.1143433504707432,13,11,38,28,6,4,11,8,12,9,21,15
257001,,10/2/2011,7/3/2019,male,no_college,hispanic,midwest_west,1.0097655575913482,23,19,98,74,24,18,25,18,37,27,32,24
257002,,9/7/2011,7/3/2019,female,no_college,hispanic,midwest_west,0.9450546757630534,22,17,77,55,5,3,17,12,35,24,33,23
257003,,8/2/2012,6/25/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,22,14,98,57,15,9,22,13,36,20,33,19
257004,,12/30/2011,6/20/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,20,13,63,37,19,11,16,9,31,18,26,15
257005,,3/14/2012,6/21/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,20,13,63,37,27,15,22,13,35,20,32,18
257012,,5/19/2011,6/27/2019,male,no_college,hispanic,midwest_west,1.0097655575913482,19,16,76,58,27,20,25,18,36,27,32,24
257016,,9/22/2010,6/20/2019,female,no_college,hispanic,midwest_west,0.9450546757630534,21,16,75,53,11,8,20,14,27,19,30,21
257017,,2/27/2011,6/25/2019,female,college_plus,hispanic,midwest_west,0.7782540386225849,19,12,87,51,5,3,18,10,30,17,31,18
262027,,10/15/2012,8/27/2019,female,college_plus,white_asian_other,midwest_west,0.9176635332933009,18,14,61,42,22,15,13,9,14,9,28,19
262043,,8/10/2012,9/18/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,20,18,82,65,16,12,20,15,29,22,30,23
262047,,7/10/2013,9/19/2019,female,college_plus,white_asian_other,northeast_south,1.0540966261043834,13,11,26,21,3,2,15,12,11,8,28,22
262049,1,6/26/2013,9/22/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,20,17,63,47,7,5,15,11,18,13,23,17
262051,,1/16/2013,10/3/2019,male,college_plus,white_asian_other,northeast_south,1.1262739550534937,19,18,86,73,26,21,24,20,37,30,24,20
