norm_group,score,raw,ss,CI90,CI95,percentile,desc_range,risk
age,eddiw,395,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,396,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,397,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,398,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,399,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,400,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,401,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,402,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,403,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,404,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,405,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,406,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,407,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,408,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,409,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,410,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,411,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,412,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,413,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,414,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,415,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,416,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,417,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,418,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,419,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,420,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,421,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,422,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,423,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,424,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,425,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,426,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,427,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,428,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,429,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,430,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,431,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,432,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,433,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,434,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,435,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,436,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,437,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,438,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,439,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,440,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,441,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,442,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,443,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,444,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,445,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,446,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,447,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,448,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,449,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,450,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,451,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,452,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,453,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,454,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,455,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,456,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,457,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,458,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,459,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,460,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,461,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,462,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,463,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,464,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,465,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,466,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,467,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,468,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,469,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,470,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,471,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,472,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,473,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,474,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,475,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,476,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,477,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,478,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,479,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,480,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,481,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,482,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,483,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,484,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,485,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,486,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,487,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,488,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,489,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,490,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,491,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,492,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,493,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,494,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,495,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,496,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,497,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,498,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,499,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,500,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,501,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,502,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,503,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,504,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,505,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,506,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,507,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,508,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,509,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,510,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,511,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,512,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,513,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,514,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,515,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,516,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,517,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,518,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,519,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,520,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,521,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,522,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,523,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,524,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,525,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,526,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,527,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,528,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,529,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,530,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,531,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,532,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,533,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,534,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,535,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,536,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,537,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,538,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,539,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,540,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,541,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,542,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,543,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,544,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,545,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,546,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,547,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,548,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,549,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,550,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,551,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,552,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,553,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,554,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,555,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,556,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,557,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,558,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,559,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,560,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,561,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,562,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,563,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,564,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,565,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,566,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,567,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,568,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,569,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,570,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,571,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,572,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,573,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,574,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,575,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,576,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,577,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,578,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,579,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,580,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,581,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,582,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,583,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,584,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,585,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,586,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,587,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,588,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,589,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,590,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,591,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,592,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,593,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,594,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,595,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,596,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,597,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
