test,agemon_min,agemon_max,raw,ss,CI90,CI95,percentile,age_equiv,desc_range
spwe,60,63,28,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,60,63,29,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,60,63,30,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,60,63,31,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,60,63,32,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,64,67,0,70,64 - 76,63 - 77,2,< start age,Well Below Average
spwe,64,67,1,72,66 - 78,65 - 79,3,< start age,Well Below Average
spwe,64,67,2,75,69 - 81,68 - 82,5,< start age,Well Below Average
spwe,64,67,3,78,72 - 84,71 - 85,7,< start age,Well Below Average
spwe,64,67,4,81,75 - 87,74 - 88,10,< start age,Below Average
spwe,64,67,5,83,77 - 89,76 - 90,13,< start age,Below Average
spwe,64,67,6,86,80 - 92,79 - 93,18,< start age,Below Average
spwe,64,67,7,89,83 - 95,82 - 96,23,< start age,Below Average
spwe,64,67,8,92,86 - 98,85 - 99,30,5:0 to 5:3,Average
spwe,64,67,9,95,89 - 101,88 - 102,37,5:0 to 5:3,Average
spwe,64,67,10,97,91 - 103,90 - 104,42,5:0 to 5:3,Average
spwe,64,67,11,100,94 - 106,93 - 107,50,5:4 to 5:7,Average
spwe,64,67,12,103,97 - 109,96 - 110,58,5:4 to 5:7,Average
spwe,64,67,13,106,100 - 112,99 - 113,66,5:8 to 5:11,Average
spwe,64,67,14,109,103 - 115,102 - 116,73,6:0 to 6:5,Average
spwe,64,67,15,112,106 - 118,105 - 119,79,6:0 to 6:5,Above Average
spwe,64,67,16,115,109 - 121,108 - 122,84,6:6 to 6:11,Above Average
spwe,64,67,17,118,112 - 124,111 - 125,88,6:6 to 6:11,Above Average
spwe,64,67,18,121,115 - 127,114 - 128,92,6:6 to 6:11,Well Above Average
spwe,64,67,19,124,118 - 130,117 - 130,95,7:0 to 7:5,Well Above Average
spwe,64,67,20,127,121 - 130,120 - 130,96,7:0 to 7:5,Well Above Average
spwe,64,67,21,130,124 - 130,123 - 130,98,7:6 to 7:11,Well Above Average
spwe,64,67,22,130,124 - 130,123 - 130,98,7:6 to 7:11,Well Above Average
spwe,64,67,23,130,124 - 130,123 - 130,98,8:0 to 8:5,Well Above Average
spwe,64,67,24,130,124 - 130,123 - 130,98,8:0 to 8:5,Well Above Average
spwe,64,67,25,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
spwe,64,67,26,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
spwe,64,67,27,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,64,67,28,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,64,67,29,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,64,67,30,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,64,67,31,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,64,67,32,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,68,71,0,66,60 - 72,59 - 73,1,< start age,Significantly Below Average
spwe,68,71,1,69,63 - 75,62 - 76,2,< start age,Significantly Below Average
spwe,68,71,2,71,65 - 77,64 - 78,3,< start age,Well Below Average
spwe,68,71,3,74,68 - 80,67 - 81,4,< start age,Well Below Average
spwe,68,71,4,77,71 - 83,70 - 84,6,< start age,Well Below Average
spwe,68,71,5,79,73 - 85,72 - 86,8,< start age,Well Below Average
spwe,68,71,6,82,76 - 88,75 - 89,12,< start age,Below Average
spwe,68,71,7,85,79 - 91,78 - 92,16,< start age,Below Average
spwe,68,71,8,87,81 - 93,80 - 94,19,5:0 to 5:3,Below Average
spwe,68,71,9,90,84 - 96,83 - 97,25,5:0 to 5:3,Average
spwe,68,71,10,93,87 - 99,86 - 100,32,5:0 to 5:3,Average
spwe,68,71,11,96,90 - 102,89 - 103,39,5:4 to 5:7,Average
spwe,68,71,12,98,92 - 104,91 - 105,45,5:4 to 5:7,Average
spwe,68,71,13,101,95 - 107,94 - 108,53,5:8 to 5:11,Average
spwe,68,71,14,104,98 - 110,97 - 111,61,6:0 to 6:5,Average
spwe,68,71,15,107,101 - 113,100 - 114,68,6:0 to 6:5,Average
spwe,68,71,16,110,104 - 116,103 - 117,75,6:6 to 6:11,Above Average
spwe,68,71,17,113,107 - 119,106 - 120,81,6:6 to 6:11,Above Average
spwe,68,71,18,115,109 - 121,108 - 122,84,6:6 to 6:11,Above Average
spwe,68,71,19,118,112 - 124,111 - 125,88,7:0 to 7:5,Above Average
spwe,68,71,20,121,115 - 127,114 - 128,92,7:0 to 7:5,Well Above Average
spwe,68,71,21,124,118 - 130,117 - 130,95,7:6 to 7:11,Well Above Average
spwe,68,71,22,127,121 - 130,120 - 130,96,7:6 to 7:11,Well Above Average
spwe,68,71,23,130,124 - 130,123 - 130,98,8:0 to 8:5,Well Above Average
spwe,68,71,24,130,124 - 130,123 - 130,98,8:0 to 8:5,Well Above Average
spwe,68,71,25,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
spwe,68,71,26,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
spwe,68,71,27,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,68,71,28,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,68,71,29,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,68,71,30,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,68,71,31,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,68,71,32,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,72,77,0,62,56 - 68,55 - 69,1,< start age,Significantly Below Average
spwe,72,77,1,65,59 - 71,58 - 72,1,< start age,Significantly Below Average
spwe,72,77,2,67,61 - 73,60 - 74,1,< start age,Significantly Below Average
spwe,72,77,3,70,64 - 76,63 - 77,2,< start age,Well Below Average
spwe,72,77,4,72,66 - 78,65 - 79,3,< start age,Well Below Average
spwe,72,77,5,75,69 - 81,68 - 82,5,< start age,Well Below Average
spwe,72,77,6,77,71 - 83,70 - 84,6,< start age,Well Below Average
spwe,72,77,7,80,74 - 86,73 - 87,9,< start age,Below Average
spwe,72,77,8,82,76 - 88,75 - 89,12,5:0 to 5:3,Below Average
spwe,72,77,9,85,79 - 91,78 - 92,16,5:0 to 5:3,Below Average
spwe,72,77,10,88,82 - 94,81 - 95,21,5:0 to 5:3,Below Average
spwe,72,77,11,90,84 - 96,83 - 97,25,5:4 to 5:7,Average
spwe,72,77,12,93,87 - 99,86 - 100,32,5:4 to 5:7,Average
spwe,72,77,13,96,90 - 102,89 - 103,39,5:8 to 5:11,Average
spwe,72,77,14,98,92 - 104,91 - 105,45,6:0 to 6:5,Average
spwe,72,77,15,101,95 - 107,94 - 108,53,6:0 to 6:5,Average
spwe,72,77,16,104,98 - 110,97 - 111,61,6:6 to 6:11,Average
spwe,72,77,17,107,101 - 113,100 - 114,68,6:6 to 6:11,Average
spwe,72,77,18,109,103 - 115,102 - 116,73,6:6 to 6:11,Average
spwe,72,77,19,112,106 - 118,105 - 119,79,7:0 to 7:5,Above Average
spwe,72,77,20,115,109 - 121,108 - 122,84,7:0 to 7:5,Above Average
spwe,72,77,21,118,112 - 124,111 - 125,88,7:6 to 7:11,Above Average
spwe,72,77,22,121,115 - 127,114 - 128,92,7:6 to 7:11,Well Above Average
spwe,72,77,23,124,118 - 130,117 - 130,95,8:0 to 8:5,Well Above Average
spwe,72,77,24,127,121 - 130,120 - 130,96,8:0 to 8:5,Well Above Average
spwe,72,77,25,129,123 - 130,122 - 130,97,8:6 to 9:3,Well Above Average
spwe,72,77,26,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
spwe,72,77,27,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,72,77,28,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,72,77,29,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,72,77,30,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,72,77,31,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,72,77,32,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,78,83,0,58,52 - 64,51 - 65,0.3,< start age,Significantly Below Average
spwe,78,83,1,60,54 - 66,53 - 67,0.4,< start age,Significantly Below Average
spwe,78,83,2,62,56 - 68,55 - 69,1,< start age,Significantly Below Average
spwe,78,83,3,65,59 - 71,58 - 72,1,< start age,Significantly Below Average
spwe,78,83,4,67,61 - 73,60 - 74,1,< start age,Significantly Below Average
spwe,78,83,5,69,63 - 75,62 - 76,2,< start age,Significantly Below Average
spwe,78,83,6,72,66 - 78,65 - 79,3,< start age,Well Below Average
spwe,78,83,7,74,68 - 80,67 - 81,4,< start age,Well Below Average
spwe,78,83,8,77,71 - 83,70 - 84,6,5:0 to 5:3,Well Below Average
spwe,78,83,9,79,73 - 85,72 - 86,8,5:0 to 5:3,Well Below Average
spwe,78,83,10,82,76 - 88,75 - 89,12,5:0 to 5:3,Below Average
spwe,78,83,11,84,78 - 90,77 - 91,14,5:4 to 5:7,Below Average
spwe,78,83,12,87,81 - 93,80 - 94,19,5:4 to 5:7,Below Average
spwe,78,83,13,89,83 - 95,82 - 96,23,5:8 to 5:11,Below Average
spwe,78,83,14,92,86 - 98,85 - 99,30,6:0 to 6:5,Average
spwe,78,83,15,95,89 - 101,88 - 102,37,6:0 to 6:5,Average
spwe,78,83,16,97,91 - 103,90 - 104,42,6:6 to 6:11,Average
spwe,78,83,17,100,94 - 106,93 - 107,50,6:6 to 6:11,Average
spwe,78,83,18,103,97 - 109,96 - 110,58,6:6 to 6:11,Average
spwe,78,83,19,105,99 - 111,98 - 112,63,7:0 to 7:5,Average
spwe,78,83,20,108,102 - 114,101 - 115,70,7:0 to 7:5,Average
spwe,78,83,21,111,105 - 117,104 - 118,77,7:6 to 7:11,Above Average
spwe,78,83,22,114,108 - 120,107 - 121,82,7:6 to 7:11,Above Average
spwe,78,83,23,117,111 - 123,110 - 124,87,8:0 to 8:5,Above Average
spwe,78,83,24,119,113 - 125,112 - 126,90,8:0 to 8:5,Above Average
spwe,78,83,25,122,116 - 128,115 - 129,93,8:6 to 9:3,Well Above Average
spwe,78,83,26,125,119 - 130,118 - 130,95,8:6 to 9:3,Well Above Average
spwe,78,83,27,128,122 - 130,121 - 130,97,> stop age,Well Above Average
spwe,78,83,28,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,78,83,29,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,78,83,30,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,78,83,31,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,78,83,32,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,84,89,0,53,47 - 59,46 - 60,0.1,< start age,Significantly Below Average
spwe,84,89,1,56,50 - 62,49 - 63,0.2,< start age,Significantly Below Average
spwe,84,89,2,58,52 - 64,51 - 65,0.3,< start age,Significantly Below Average
spwe,84,89,3,60,54 - 66,53 - 67,0.4,< start age,Significantly Below Average
spwe,84,89,4,62,56 - 68,55 - 69,1,< start age,Significantly Below Average
spwe,84,89,5,65,59 - 71,58 - 72,1,< start age,Significantly Below Average
spwe,84,89,6,67,61 - 73,60 - 74,1,< start age,Significantly Below Average
spwe,84,89,7,69,63 - 75,62 - 76,2,< start age,Significantly Below Average
spwe,84,89,8,72,66 - 78,65 - 79,3,5:0 to 5:3,Well Below Average
spwe,84,89,9,74,68 - 80,67 - 81,4,5:0 to 5:3,Well Below Average
spwe,84,89,10,76,70 - 82,69 - 83,5,5:0 to 5:3,Well Below Average
spwe,84,89,11,79,73 - 85,72 - 86,8,5:4 to 5:7,Well Below Average
spwe,84,89,12,81,75 - 87,74 - 88,10,5:4 to 5:7,Below Average
spwe,84,89,13,84,78 - 90,77 - 91,14,5:8 to 5:11,Below Average
spwe,84,89,14,86,80 - 92,79 - 93,18,6:0 to 6:5,Below Average
spwe,84,89,15,89,83 - 95,82 - 96,23,6:0 to 6:5,Below Average
spwe,84,89,16,91,85 - 97,84 - 98,27,6:6 to 6:11,Average
spwe,84,89,17,94,88 - 100,87 - 101,34,6:6 to 6:11,Average
spwe,84,89,18,97,91 - 103,90 - 104,42,6:6 to 6:11,Average
spwe,84,89,19,99,93 - 105,92 - 106,47,7:0 to 7:5,Average
spwe,84,89,20,102,96 - 108,95 - 109,55,7:0 to 7:5,Average
spwe,84,89,21,105,99 - 111,98 - 112,63,7:6 to 7:11,Average
spwe,84,89,22,107,101 - 113,100 - 114,68,7:6 to 7:11,Average
spwe,84,89,23,110,104 - 116,103 - 117,75,8:0 to 8:5,Above Average
spwe,84,89,24,113,107 - 119,106 - 120,81,8:0 to 8:5,Above Average
spwe,84,89,25,116,110 - 122,109 - 123,86,8:6 to 9:3,Above Average
spwe,84,89,26,119,113 - 125,112 - 126,90,8:6 to 9:3,Above Average
spwe,84,89,27,122,116 - 128,115 - 129,93,> stop age,Well Above Average
spwe,84,89,28,125,119 - 130,118 - 130,95,> stop age,Well Above Average
spwe,84,89,29,128,122 - 130,121 - 130,97,> stop age,Well Above Average
spwe,84,89,30,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,84,89,31,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,84,89,32,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,90,95,0,50,44 - 56,43 - 57,0.1,< start age,Significantly Below Average
spwe,90,95,1,52,46 - 58,45 - 59,0.1,< start age,Significantly Below Average
spwe,90,95,2,54,48 - 60,47 - 61,0.1,< start age,Significantly Below Average
spwe,90,95,3,56,50 - 62,49 - 63,0.2,< start age,Significantly Below Average
spwe,90,95,4,58,52 - 64,51 - 65,0.3,< start age,Significantly Below Average
spwe,90,95,5,60,54 - 66,53 - 67,0.4,< start age,Significantly Below Average
spwe,90,95,6,62,56 - 68,55 - 69,1,< start age,Significantly Below Average
spwe,90,95,7,65,59 - 71,58 - 72,1,< start age,Significantly Below Average
spwe,90,95,8,67,61 - 73,60 - 74,1,5:0 to 5:3,Significantly Below Average
spwe,90,95,9,69,63 - 75,62 - 76,2,5:0 to 5:3,Significantly Below Average
spwe,90,95,10,71,65 - 77,64 - 78,3,5:0 to 5:3,Well Below Average
spwe,90,95,11,74,68 - 80,67 - 81,4,5:4 to 5:7,Well Below Average
spwe,90,95,12,76,70 - 82,69 - 83,5,5:4 to 5:7,Well Below Average
spwe,90,95,13,79,73 - 85,72 - 86,8,5:8 to 5:11,Well Below Average
spwe,90,95,14,81,75 - 87,74 - 88,10,6:0 to 6:5,Below Average
spwe,90,95,15,83,77 - 89,76 - 90,13,6:0 to 6:5,Below Average
spwe,90,95,16,86,80 - 92,79 - 93,18,6:6 to 6:11,Below Average
spwe,90,95,17,88,82 - 94,81 - 95,21,6:6 to 6:11,Below Average
spwe,90,95,18,91,85 - 97,84 - 98,27,6:6 to 6:11,Average
spwe,90,95,19,94,88 - 100,87 - 101,34,7:0 to 7:5,Average
spwe,90,95,20,96,90 - 102,89 - 103,39,7:0 to 7:5,Average
spwe,90,95,21,99,93 - 105,92 - 106,47,7:6 to 7:11,Average
spwe,90,95,22,102,96 - 108,95 - 109,55,7:6 to 7:11,Average
spwe,90,95,23,104,98 - 110,97 - 111,61,8:0 to 8:5,Average
spwe,90,95,24,107,101 - 113,100 - 114,68,8:0 to 8:5,Average
spwe,90,95,25,110,104 - 116,103 - 117,75,8:6 to 9:3,Above Average
spwe,90,95,26,113,107 - 119,106 - 120,81,8:6 to 9:3,Above Average
spwe,90,95,27,116,110 - 122,109 - 123,86,> stop age,Above Average
spwe,90,95,28,119,113 - 125,112 - 126,90,> stop age,Above Average
spwe,90,95,29,123,117 - 129,116 - 130,94,> stop age,Well Above Average
spwe,90,95,30,126,120 - 130,119 - 130,96,> stop age,Well Above Average
spwe,90,95,31,129,123 - 130,122 - 130,97,> stop age,Well Above Average
spwe,90,95,32,130,124 - 130,123 - 130,98,> stop age,Well Above Average
spwe,96,101,0,46,40 - 52,40 - 53,<.1,< start age,Significantly Below Average
spwe,96,101,1,48,42 - 54,41 - 55,<.1,< start age,Significantly Below Average
spwe,96,101,2,50,44 - 56,43 - 57,0.1,< start age,Significantly Below Average
spwe,96,101,3,52,46 - 58,45 - 59,0.1,< start age,Significantly Below Average
spwe,96,101,4,54,48 - 60,47 - 61,0.1,< start age,Significantly Below Average
spwe,96,101,5,56,50 - 62,49 - 63,0.2,< start age,Significantly Below Average
spwe,96,101,6,58,52 - 64,51 - 65,0.3,< start age,Significantly Below Average
spwe,96,101,7,61,55 - 67,54 - 68,0.5,< start age,Significantly Below Average
spwe,96,101,8,63,57 - 69,56 - 70,1,5:0 to 5:3,Significantly Below Average
spwe,96,101,9,65,59 - 71,58 - 72,1,5:0 to 5:3,Significantly Below Average
spwe,96,101,10,67,61 - 73,60 - 74,1,5:0 to 5:3,Significantly Below Average
spwe,96,101,11,69,63 - 75,62 - 76,2,5:4 to 5:7,Significantly Below Average
spwe,96,101,12,72,66 - 78,65 - 79,3,5:4 to 5:7,Well Below Average
spwe,96,101,13,74,68 - 80,67 - 81,4,5:8 to 5:11,Well Below Average
spwe,96,101,14,76,70 - 82,69 - 83,5,6:0 to 6:5,Well Below Average
spwe,96,101,15,79,73 - 85,72 - 86,8,6:0 to 6:5,Well Below Average
spwe,96,101,16,81,75 - 87,74 - 88,10,6:6 to 6:11,Below Average
spwe,96,101,17,83,77 - 89,76 - 90,13,6:6 to 6:11,Below Average
spwe,96,101,18,86,80 - 92,79 - 93,18,6:6 to 6:11,Below Average
spwe,96,101,19,89,83 - 95,82 - 96,23,7:0 to 7:5,Below Average
spwe,96,101,20,91,85 - 97,84 - 98,27,7:0 to 7:5,Average
spwe,96,101,21,94,88 - 100,87 - 101,34,7:6 to 7:11,Average
spwe,96,101,22,97,91 - 103,90 - 104,42,7:6 to 7:11,Average
spwe,96,101,23,99,93 - 105,92 - 106,47,8:0 to 8:5,Average
spwe,96,101,24,102,96 - 108,95 - 109,55,8:0 to 8:5,Average
spwe,96,101,25,105,99 - 111,98 - 112,63,8:6 to 9:3,Average
spwe,96,101,26,108,102 - 114,101 - 115,70,8:6 to 9:3,Average
spwe,96,101,27,111,105 - 117,104 - 118,77,> stop age,Above Average
spwe,96,101,28,115,109 - 121,108 - 122,84,> stop age,Above Average
spwe,96,101,29,118,112 - 124,111 - 125,88,> stop age,Above Average
spwe,96,101,30,122,116 - 128,115 - 129,93,> stop age,Well Above Average
spwe,96,101,31,125,119 - 130,118 - 130,95,> stop age,Well Above Average
spwe,96,101,32,129,123 - 130,122 - 130,97,> stop age,Well Above Average
spwe,102,117,0,42,40 - 48,40 - 49,<.1,< start age,Significantly Below Average
spwe,102,117,1,44,40 - 50,40 - 51,<.1,< start age,Significantly Below Average
spwe,102,117,2,46,40 - 52,40 - 53,<.1,< start age,Significantly Below Average
spwe,102,117,3,48,42 - 54,41 - 55,<.1,< start age,Significantly Below Average
spwe,102,117,4,50,44 - 56,43 - 57,0.1,< start age,Significantly Below Average
spwe,102,117,5,52,46 - 58,45 - 59,0.1,< start age,Significantly Below Average
spwe,102,117,6,53,47 - 59,46 - 60,0.1,< start age,Significantly Below Average
spwe,102,117,7,55,49 - 61,48 - 62,0.1,< start age,Significantly Below Average
spwe,102,117,8,58,52 - 64,51 - 65,0.3,5:0 to 5:3,Significantly Below Average
spwe,102,117,9,60,54 - 66,53 - 67,0.4,5:0 to 5:3,Significantly Below Average
spwe,102,117,10,62,56 - 68,55 - 69,1,5:0 to 5:3,Significantly Below Average
spwe,102,117,11,64,58 - 70,57 - 71,1,5:4 to 5:7,Significantly Below Average
spwe,102,117,12,66,60 - 72,59 - 73,1,5:4 to 5:7,Significantly Below Average
spwe,102,117,13,68,62 - 74,61 - 75,2,5:8 to 5:11,Significantly Below Average
spwe,102,117,14,70,64 - 76,63 - 77,2,6:0 to 6:5,Well Below Average
spwe,102,117,15,73,67 - 79,66 - 80,4,6:0 to 6:5,Well Below Average
spwe,102,117,16,75,69 - 81,68 - 82,5,6:6 to 6:11,Well Below Average
spwe,102,117,17,78,72 - 84,71 - 85,7,6:6 to 6:11,Well Below Average
spwe,102,117,18,80,74 - 86,73 - 87,9,6:6 to 6:11,Below Average
spwe,102,117,19,83,77 - 89,76 - 90,13,7:0 to 7:5,Below Average
spwe,102,117,20,85,79 - 91,78 - 92,16,7:0 to 7:5,Below Average
spwe,102,117,21,88,82 - 94,81 - 95,21,7:6 to 7:11,Below Average
spwe,102,117,22,91,85 - 97,84 - 98,27,7:6 to 7:11,Average
spwe,102,117,23,94,88 - 100,87 - 101,34,8:0 to 8:5,Average
spwe,102,117,24,97,91 - 103,90 - 104,42,8:0 to 8:5,Average
spwe,102,117,25,100,94 - 106,93 - 107,50,8:6 to 9:3,Average
spwe,102,117,26,103,97 - 109,96 - 110,58,8:6 to 9:3,Average
spwe,102,117,27,107,101 - 113,100 - 114,68,> stop age,Average
spwe,102,117,28,110,104 - 116,103 - 117,75,> stop age,Above Average
spwe,102,117,29,114,108 - 120,107 - 121,82,> stop age,Above Average
spwe,102,117,30,118,112 - 124,111 - 125,88,> stop age,Above Average
spwe,102,117,31,123,117 - 129,116 - 130,94,> stop age,Well Above Average
spwe,102,117,32,127,121 - 130,120 - 130,96,> stop age,Well Above Average
rhye,60,63,0,82,76 - 88,75 - 89,12,< start age,Below Average
rhye,60,63,1,86,80 - 92,79 - 93,18,< start age,Below Average
rhye,60,63,2,90,84 - 96,83 - 97,25,< start age,Average
rhye,60,63,3,93,87 - 99,86 - 100,32,< start age,Average
rhye,60,63,4,97,91 - 103,90 - 104,42,5:0 to 5:3,Average
rhye,60,63,5,101,95 - 107,94 - 108,53,5:0 to 5:3,Average
rhye,60,63,6,103,97 - 109,96 - 110,58,5:0 to 5:3,Average
rhye,60,63,7,105,99 - 111,98 - 112,63,5:4 to 5:7,Average
rhye,60,63,8,107,101 - 113,100 - 114,68,5:4 to 5:7,Average
rhye,60,63,9,109,103 - 115,102 - 116,73,5:4 to 5:7,Average
rhye,60,63,10,110,104 - 116,103 - 117,75,5:8 to 5:11,Above Average
rhye,60,63,11,112,106 - 118,105 - 119,79,5:8 to 5:11,Above Average
rhye,60,63,12,114,108 - 120,107 - 121,82,5:8 to 5:11,Above Average
rhye,60,63,13,116,110 - 122,109 - 123,86,6:0 to 6:5,Above Average
rhye,60,63,14,117,111 - 123,110 - 124,87,6:0 to 6:5,Above Average
rhye,60,63,15,119,113 - 125,112 - 126,90,6:0 to 6:5,Above Average
rhye,60,63,16,121,115 - 127,114 - 128,92,6:0 to 6:5,Well Above Average
rhye,60,63,17,123,117 - 129,116 - 130,94,6:6 to 6:11,Well Above Average
rhye,60,63,18,124,118 - 130,117 - 130,95,6:6 to 6:11,Well Above Average
rhye,60,63,19,126,120 - 130,119 - 130,96,6:6 to 6:11,Well Above Average
rhye,60,63,20,128,122 - 130,121 - 130,97,6:6 to 6:11,Well Above Average
rhye,60,63,21,130,124 - 130,123 - 130,98,7:0 to 7:5,Well Above Average
rhye,60,63,22,130,124 - 130,123 - 130,98,7:0 to 7:5,Well Above Average
rhye,60,63,23,130,124 - 130,123 - 130,98,7:0 to 7:5,Well Above Average
rhye,60,63,24,130,124 - 130,123 - 130,98,7:6 to 7:11,Well Above Average
rhye,60,63,25,130,124 - 130,123 - 130,98,8:0 to 8:5,Well Above Average
rhye,60,63,26,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
rhye,60,63,27,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
rhye,60,63,28,130,124 - 130,123 - 130,98,> stop age,Well Above Average
rhye,60,63,29,130,124 - 130,123 - 130,98,> stop age,Well Above Average
rhye,60,63,30,130,124 - 130,123 - 130,98,> stop age,Well Above Average
rhye,64,67,0,77,71 - 83,70 - 84,6,< start age,Well Below Average
rhye,64,67,1,82,76 - 88,75 - 89,12,< start age,Below Average
rhye,64,67,2,86,80 - 92,79 - 93,18,< start age,Below Average
rhye,64,67,3,90,84 - 96,83 - 97,25,< start age,Average
rhye,64,67,4,93,87 - 99,86 - 100,32,5:0 to 5:3,Average
rhye,64,67,5,95,89 - 101,88 - 102,37,5:0 to 5:3,Average
rhye,64,67,6,97,91 - 103,90 - 104,42,5:0 to 5:3,Average
rhye,64,67,7,99,93 - 105,92 - 106,47,5:4 to 5:7,Average
rhye,64,67,8,101,95 - 107,94 - 108,53,5:4 to 5:7,Average
rhye,64,67,9,103,97 - 109,96 - 110,58,5:4 to 5:7,Average
rhye,64,67,10,104,98 - 110,97 - 111,61,5:8 to 5:11,Average
rhye,64,67,11,106,100 - 112,99 - 113,66,5:8 to 5:11,Average
rhye,64,67,12,108,102 - 114,101 - 115,70,5:8 to 5:11,Average
rhye,64,67,13,109,103 - 115,102 - 116,73,6:0 to 6:5,Average
rhye,64,67,14,111,105 - 117,104 - 118,77,6:0 to 6:5,Above Average
rhye,64,67,15,112,106 - 118,105 - 119,79,6:0 to 6:5,Above Average
rhye,64,67,16,114,108 - 120,107 - 121,82,6:0 to 6:5,Above Average
rhye,64,67,17,116,110 - 122,109 - 123,86,6:6 to 6:11,Above Average
rhye,64,67,18,118,112 - 124,111 - 125,88,6:6 to 6:11,Above Average
rhye,64,67,19,119,113 - 125,112 - 126,90,6:6 to 6:11,Above Average
