norm_group,score,raw,ss,CI90,CI95,percentile,desc_range,prob
age,ddiw,405,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,406,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,407,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,408,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,409,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,410,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,411,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,412,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,413,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,414,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,415,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,416,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,417,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,418,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,419,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,420,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,421,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,422,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,423,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,424,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,425,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,426,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,427,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,428,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,429,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,430,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,431,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,432,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,433,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,434,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,435,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,436,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,437,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,438,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,439,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,440,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,441,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,442,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,443,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,444,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,445,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,446,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,447,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,448,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,449,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,450,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,451,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,452,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,453,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,454,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,455,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,456,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,457,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,458,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,459,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,460,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,461,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,462,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,463,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,464,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,465,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,466,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,467,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,468,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,469,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,470,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,471,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,472,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,473,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,474,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,475,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,476,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,477,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,478,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,479,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,480,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,481,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,482,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,483,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,484,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,485,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,486,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,487,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,488,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,489,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,490,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,491,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,492,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,493,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,494,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,495,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,496,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,497,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,498,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,499,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,500,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,501,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,502,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,503,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,504,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,505,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,506,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,507,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,508,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,509,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,510,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,511,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,512,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,513,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,514,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,515,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,516,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,517,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,518,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,519,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,520,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,521,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,522,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,523,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,524,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,525,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,526,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,527,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,528,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,529,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,530,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,531,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,532,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,533,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,534,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,535,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,536,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,537,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,538,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,539,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,540,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,541,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,542,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,543,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,544,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,545,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,546,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,547,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,548,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,549,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,550,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,551,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,552,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,553,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,554,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,555,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,556,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,557,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,558,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,559,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,560,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,561,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,562,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,563,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,564,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,565,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,566,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,567,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,568,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,569,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,570,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,571,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,572,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,573,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,574,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,575,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,576,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,577,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,578,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,579,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,580,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,581,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,582,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,583,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,584,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,585,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,586,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,587,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,588,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,589,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,590,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,591,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,592,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,593,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,594,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,595,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,596,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,ddiw,597,67,63 - 71,62 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
