norm_group,test,age_min,age_max,raw,ss,CI90,CI95,percentile,equiv,desc_range
age,LWC,60,63,57,59,51 - 67,49 - 69,0.3,< Start age,Significantly Below Average
age,LWC,60,63,58,61,53 - 69,51 - 71,0.5,< Start age,Significantly Below Average
age,LWC,60,63,59,62,54 - 70,52 - 72,1,< Start age,Significantly Below Average
age,LWC,60,63,60,63,55 - 71,53 - 73,1,< Start age,Significantly Below Average
age,LWC,60,63,61,65,57 - 73,55 - 75,1,< Start age,Significantly Below Average
age,LWC,60,63,62,66,58 - 74,56 - 76,1,< Start age,Significantly Below Average
age,LWC,60,63,63,67,59 - 75,57 - 77,1,< Start age,Significantly Below Average
age,LWC,60,63,64,69,61 - 77,59 - 79,2,< Start age,Significantly Below Average
age,LWC,60,63,65,70,62 - 78,60 - 80,2,< Start age,Well Below Average
age,LWC,60,63,66,71,63 - 79,61 - 81,3,< Start age,Well Below Average
age,LWC,60,63,67,73,65 - 81,63 - 83,4,< Start age,Well Below Average
age,LWC,60,63,68,74,66 - 82,64 - 84,4,< Start age,Well Below Average
age,LWC,60,63,69,75,67 - 83,65 - 85,5,< Start age,Well Below Average
age,LWC,60,63,70,77,69 - 85,67 - 87,6,< Start age,Well Below Average
age,LWC,60,63,71,78,70 - 86,68 - 88,7,< Start age,Well Below Average
age,LWC,60,63,72,79,71 - 87,69 - 89,8,< Start age,Well Below Average
age,LWC,60,63,73,81,73 - 89,71 - 91,10,< Start age,Below Average
age,LWC,60,63,74,82,74 - 90,72 - 92,12,< Start age,Below Average
age,LWC,60,63,75,84,76 - 92,74 - 94,14,< Start age,Below Average
age,LWC,60,63,76,85,77 - 93,75 - 95,16,< Start age,Below Average
age,LWC,60,63,77,86,78 - 94,76 - 96,18,< Start age,Below Average
age,LWC,60,63,78,88,80 - 96,78 - 98,21,< Start age,Below Average
age,LWC,60,63,79,89,81 - 97,79 - 99,23,< Start age,Below Average
age,LWC,60,63,80,91,83 - 99,81 - 101,27,< Start age,Average
age,LWC,60,63,81,92,84 - 100,82 - 102,30,< Start age,Average
age,LWC,60,63,82,93,85 - 101,83 - 103,32,< Start age,Average
age,LWC,60,63,83,95,87 - 103,85 - 105,37,5:0 to 5:3,Average
age,LWC,60,63,84,96,88 - 104,86 - 106,39,5:0 to 5:3,Average
age,LWC,60,63,85,98,90 - 106,88 - 108,45,5:0 to 5:3,Average
age,LWC,60,63,86,99,91 - 107,89 - 109,47,5:0 to 5:3,Average
age,LWC,60,63,87,100,92 - 108,90 - 110,50,5:0 to 5:3,Average
age,LWC,60,63,88,102,94 - 110,92 - 112,55,5:0 to 5:3,Average
age,LWC,60,63,89,103,95 - 111,93 - 113,58,5:4 to 5:7,Average
age,LWC,60,63,90,105,97 - 113,95 - 115,63,5:4 to 5:7,Average
age,LWC,60,63,91,106,98 - 114,96 - 116,66,5:4 to 5:7,Average
age,LWC,60,63,92,107,99 - 115,97 - 117,68,5:8 to 5:11,Average
age,LWC,60,63,93,109,101 - 117,99 - 119,73,5:8 to 5:11,Average
age,LWC,60,63,94,110,102 - 118,100 - 120,75,5:8 to 5:11,Above Average
age,LWC,60,63,95,112,104 - 120,102 - 122,79,5:8 to 5:11,Above Average
age,LWC,60,63,96,113,105 - 121,103 - 123,81,6:0 to 6:3,Above Average
age,LWC,60,63,97,114,106 - 122,104 - 124,82,6:0 to 6:3,Above Average
age,LWC,60,63,98,116,108 - 124,106 - 126,86,6:0 to 6:3,Above Average
age,LWC,60,63,99,117,109 - 125,107 - 127,87,6:4 to 6:7,Above Average
age,LWC,60,63,100,119,111 - 127,109 - 129,90,6:4 to 6:7,Above Average
age,LWC,60,63,101,120,112 - 128,110 - 130,91,6:4 to 6:7,Well Above Average
age,LWC,60,63,102,122,114 - 130,112 - 130,93,6:4 to 6:7,Well Above Average
age,LWC,60,63,103,123,115 - 130,113 - 130,94,6:8 to 6:11,Well Above Average
age,LWC,60,63,104,124,116 - 130,114 - 130,95,6:8 to 6:11,Well Above Average
age,LWC,60,63,105,126,118 - 130,116 - 130,96,6:8 to 6:11,Well Above Average
age,LWC,60,63,106,127,119 - 130,117 - 130,96,7:0 to 7:3,Well Above Average
age,LWC,60,63,107,129,121 - 130,119 - 130,97,7:0 to 7:3,Well Above Average
age,LWC,60,63,108,130,122 - 130,120 - 130,98,7:4 to 7:7,Well Above Average
age,LWC,60,63,109,130,122 - 130,120 - 130,98,7:4 to 7:7,Well Above Average
age,LWC,60,63,110,130,122 - 130,120 - 130,98,7:4 to 7:7,Well Above Average
age,LWC,60,63,111,130,122 - 130,120 - 130,98,7:8 to 7:11,Well Above Average
age,LWC,60,63,112,130,122 - 130,120 - 130,98,7:8 to 7:11,Well Above Average
age,LWC,60,63,113,130,122 - 130,120 - 130,98,8:0 to 8:5,Well Above Average
age,LWC,60,63,114,130,122 - 130,120 - 130,98,8:0 to 8:5,Well Above Average
age,LWC,60,63,115,130,122 - 130,120 - 130,98,8:0 to 8:5,Well Above Average
age,LWC,60,63,116,130,122 - 130,120 - 130,98,8:6 to 8:11,Well Above Average
age,LWC,60,63,117,130,122 - 130,120 - 130,98,8:6 to 8:11,Well Above Average
age,LWC,60,63,118,130,122 - 130,120 - 130,98,8:6 to 8:11,Well Above Average
age,LWC,60,63,119,130,122 - 130,120 - 130,98,9:0 to 9:5,Well Above Average
age,LWC,60,63,120,130,122 - 130,120 - 130,98,9:0 to 9:5,Well Above Average
age,LWC,60,63,121,130,122 - 130,120 - 130,98,9:6 to 9:11,Well Above Average
age,LWC,60,63,122,130,122 - 130,120 - 130,98,9:6 to 9:11,Well Above Average
age,LWC,60,63,123,130,122 - 130,120 - 130,98,10:0 to 10:5,Well Above Average
age,LWC,60,63,124,130,122 - 130,120 - 130,98,10:0 to 10:5,Well Above Average
age,LWC,60,63,125,130,122 - 130,120 - 130,98,10:6 to 10:11,Well Above Average
age,LWC,60,63,126,130,122 - 130,120 - 130,98,11:0 to 11:5,Well Above Average
age,LWC,60,63,127,130,122 - 130,120 - 130,98,11:6 to 11:11,Well Above Average
age,LWC,60,63,128,130,122 - 130,120 - 130,98,13:0 to 13:11,Well Above Average
age,LWC,60,63,129,130,122 - 130,120 - 130,98,13:0 to 13:11,Well Above Average
age,LWC,60,63,130,130,122 - 130,120 - 130,98,14:0 to 14:11,Well Above Average
age,LWC,60,63,131,130,122 - 130,120 - 130,98,14:0 to 14:11,Well Above Average
age,LWC,60,63,132,130,122 - 130,120 - 130,98,15:0 to 16:11,Well Above Average
age,LWC,60,63,133,130,122 - 130,120 - 130,98,15:0 to 16:11,Well Above Average
age,LWC,60,63,134,130,122 - 130,120 - 130,98,15:0 to 16:11,Well Above Average
age,LWC,60,63,135,130,122 - 130,120 - 130,98,17:0 to 18:11,Well Above Average
age,LWC,60,63,136,130,122 - 130,120 - 130,98,17:0 to 18:11,Well Above Average
age,LWC,60,63,137,130,122 - 130,120 - 130,98,17:0 to 18:11,Well Above Average
age,LWC,60,63,138,130,122 - 130,120 - 130,98,17:0 to 18:11,Well Above Average
age,LWC,60,63,139,130,122 - 130,120 - 130,98,17:0 to 18:11,Well Above Average
age,LWC,60,63,140,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,141,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,142,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,143,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,144,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,145,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,146,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,147,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,148,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,149,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,150,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,151,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,152,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,153,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,154,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,155,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,156,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,157,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,158,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,159,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,160,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,161,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,162,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,163,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,164,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,165,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,166,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,167,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,60,63,168,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,29,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,30,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,31,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,32,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,33,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,34,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,35,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,36,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,37,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,38,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,39,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,40,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,41,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,42,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,43,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,44,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,64,67,45,41,40 - 49,40 - 51,<.1,< Start age,Significantly Below Average
age,LWC,64,67,46,42,40 - 50,40 - 52,<.1,< Start age,Significantly Below Average
age,LWC,64,67,47,44,40 - 52,40 - 54,<.1,< Start age,Significantly Below Average
age,LWC,64,67,48,45,40 - 53,40 - 55,<.1,< Start age,Significantly Below Average
age,LWC,64,67,49,46,40 - 54,40 - 56,<.1,< Start age,Significantly Below Average
age,LWC,64,67,50,47,40 - 55,40 - 57,<.1,< Start age,Significantly Below Average
age,LWC,64,67,51,48,40 - 56,40 - 58,<.1,< Start age,Significantly Below Average
age,LWC,64,67,52,50,42 - 58,40 - 60,0.1,< Start age,Significantly Below Average
age,LWC,64,67,53,51,43 - 59,41 - 61,0.1,< Start age,Significantly Below Average
age,LWC,64,67,54,52,44 - 60,42 - 62,0.1,< Start age,Significantly Below Average
age,LWC,64,67,55,53,45 - 61,43 - 63,0.1,< Start age,Significantly Below Average
age,LWC,64,67,56,55,47 - 63,45 - 65,0.1,< Start age,Significantly Below Average
age,LWC,64,67,57,56,48 - 64,46 - 66,0.2,< Start age,Significantly Below Average
age,LWC,64,67,58,57,49 - 65,47 - 67,0.2,< Start age,Significantly Below Average
age,LWC,64,67,59,58,50 - 66,48 - 68,0.3,< Start age,Significantly Below Average
age,LWC,64,67,60,60,52 - 68,50 - 70,0.4,< Start age,Significantly Below Average
age,LWC,64,67,61,61,53 - 69,51 - 71,0.5,< Start age,Significantly Below Average
age,LWC,64,67,62,62,54 - 70,52 - 72,1,< Start age,Significantly Below Average
age,LWC,64,67,63,64,56 - 72,54 - 74,1,< Start age,Significantly Below Average
age,LWC,64,67,64,65,57 - 73,55 - 75,1,< Start age,Significantly Below Average
age,LWC,64,67,65,66,58 - 74,56 - 76,1,< Start age,Significantly Below Average
age,LWC,64,67,66,67,59 - 75,57 - 77,1,< Start age,Significantly Below Average
age,LWC,64,67,67,69,61 - 77,59 - 79,2,< Start age,Significantly Below Average
age,LWC,64,67,68,70,62 - 78,60 - 80,2,< Start age,Well Below Average
age,LWC,64,67,69,71,63 - 79,61 - 81,3,< Start age,Well Below Average
age,LWC,64,67,70,73,65 - 81,63 - 83,4,< Start age,Well Below Average
age,LWC,64,67,71,74,66 - 82,64 - 84,4,< Start age,Well Below Average
age,LWC,64,67,72,75,67 - 83,65 - 85,5,< Start age,Well Below Average
age,LWC,64,67,73,77,69 - 85,67 - 87,6,< Start age,Well Below Average
age,LWC,64,67,74,78,70 - 86,68 - 88,7,< Start age,Well Below Average
age,LWC,64,67,75,79,71 - 87,69 - 89,8,< Start age,Well Below Average
age,LWC,64,67,76,80,72 - 88,70 - 90,9,< Start age,Below Average
age,LWC,64,67,77,82,74 - 90,72 - 92,12,< Start age,Below Average
age,LWC,64,67,78,83,75 - 91,73 - 93,13,< Start age,Below Average
age,LWC,64,67,79,84,76 - 92,74 - 94,14,< Start age,Below Average
age,LWC,64,67,80,86,78 - 94,76 - 96,18,< Start age,Below Average
age,LWC,64,67,81,87,79 - 95,77 - 97,19,< Start age,Below Average
age,LWC,64,67,82,88,80 - 96,78 - 98,21,< Start age,Below Average
age,LWC,64,67,83,90,82 - 98,80 - 100,25,5:0 to 5:3,Average
age,LWC,64,67,84,91,83 - 99,81 - 101,27,5:0 to 5:3,Average
age,LWC,64,67,85,92,84 - 100,82 - 102,30,5:0 to 5:3,Average
age,LWC,64,67,86,94,86 - 102,84 - 104,34,5:0 to 5:3,Average
age,LWC,64,67,87,95,87 - 103,85 - 105,37,5:0 to 5:3,Average
age,LWC,64,67,88,97,89 - 105,87 - 107,42,5:0 to 5:3,Average
age,LWC,64,67,89,98,90 - 106,88 - 108,45,5:4 to 5:7,Average
age,LWC,64,67,90,99,91 - 107,89 - 109,47,5:4 to 5:7,Average
age,LWC,64,67,91,101,93 - 109,91 - 111,53,5:4 to 5:7,Average
age,LWC,64,67,92,102,94 - 110,92 - 112,55,5:8 to 5:11,Average
age,LWC,64,67,93,103,95 - 111,93 - 113,58,5:8 to 5:11,Average
age,LWC,64,67,94,105,97 - 113,95 - 115,63,5:8 to 5:11,Average
age,LWC,64,67,95,106,98 - 114,96 - 116,66,5:8 to 5:11,Average
age,LWC,64,67,96,107,99 - 115,97 - 117,68,6:0 to 6:3,Average
age,LWC,64,67,97,109,101 - 117,99 - 119,73,6:0 to 6:3,Average
age,LWC,64,67,98,110,102 - 118,100 - 120,75,6:0 to 6:3,Above Average
age,LWC,64,67,99,112,104 - 120,102 - 122,79,6:4 to 6:7,Above Average
age,LWC,64,67,100,113,105 - 121,103 - 123,81,6:4 to 6:7,Above Average
age,LWC,64,67,101,114,106 - 122,104 - 124,82,6:4 to 6:7,Above Average
age,LWC,64,67,102,116,108 - 124,106 - 126,86,6:4 to 6:7,Above Average
age,LWC,64,67,103,117,109 - 125,107 - 127,87,6:8 to 6:11,Above Average
age,LWC,64,67,104,118,110 - 126,108 - 128,88,6:8 to 6:11,Above Average
age,LWC,64,67,105,120,112 - 128,110 - 130,91,6:8 to 6:11,Well Above Average
age,LWC,64,67,106,121,113 - 129,111 - 130,92,7:0 to 7:3,Well Above Average
age,LWC,64,67,107,123,115 - 130,113 - 130,94,7:0 to 7:3,Well Above Average
age,LWC,64,67,108,124,116 - 130,114 - 130,95,7:4 to 7:7,Well Above Average
age,LWC,64,67,109,125,117 - 130,115 - 130,95,7:4 to 7:7,Well Above Average
age,LWC,64,67,110,127,119 - 130,117 - 130,96,7:4 to 7:7,Well Above Average
age,LWC,64,67,111,128,120 - 130,118 - 130,97,7:8 to 7:11,Well Above Average
age,LWC,64,67,112,129,121 - 130,119 - 130,97,7:8 to 7:11,Well Above Average
age,LWC,64,67,113,130,122 - 130,120 - 130,98,8:0 to 8:5,Well Above Average
age,LWC,64,67,114,130,122 - 130,120 - 130,98,8:0 to 8:5,Well Above Average
age,LWC,64,67,115,130,122 - 130,120 - 130,98,8:0 to 8:5,Well Above Average
age,LWC,64,67,116,130,122 - 130,120 - 130,98,8:6 to 8:11,Well Above Average
age,LWC,64,67,117,130,122 - 130,120 - 130,98,8:6 to 8:11,Well Above Average
age,LWC,64,67,118,130,122 - 130,120 - 130,98,8:6 to 8:11,Well Above Average
age,LWC,64,67,119,130,122 - 130,120 - 130,98,9:0 to 9:5,Well Above Average
age,LWC,64,67,120,130,122 - 130,120 - 130,98,9:0 to 9:5,Well Above Average
age,LWC,64,67,121,130,122 - 130,120 - 130,98,9:6 to 9:11,Well Above Average
age,LWC,64,67,122,130,122 - 130,120 - 130,98,9:6 to 9:11,Well Above Average
age,LWC,64,67,123,130,122 - 130,120 - 130,98,10:0 to 10:5,Well Above Average
age,LWC,64,67,124,130,122 - 130,120 - 130,98,10:0 to 10:5,Well Above Average
age,LWC,64,67,125,130,122 - 130,120 - 130,98,10:6 to 10:11,Well Above Average
age,LWC,64,67,126,130,122 - 130,120 - 130,98,11:0 to 11:5,Well Above Average
age,LWC,64,67,127,130,122 - 130,120 - 130,98,11:6 to 11:11,Well Above Average
age,LWC,64,67,128,130,122 - 130,120 - 130,98,13:0 to 13:11,Well Above Average
age,LWC,64,67,129,130,122 - 130,120 - 130,98,13:0 to 13:11,Well Above Average
age,LWC,64,67,130,130,122 - 130,120 - 130,98,14:0 to 14:11,Well Above Average
age,LWC,64,67,131,130,122 - 130,120 - 130,98,14:0 to 14:11,Well Above Average
age,LWC,64,67,132,130,122 - 130,120 - 130,98,15:0 to 16:11,Well Above Average
age,LWC,64,67,133,130,122 - 130,120 - 130,98,15:0 to 16:11,Well Above Average
age,LWC,64,67,134,130,122 - 130,120 - 130,98,15:0 to 16:11,Well Above Average
age,LWC,64,67,135,130,122 - 130,120 - 130,98,17:0 to 18:11,Well Above Average
age,LWC,64,67,136,130,122 - 130,120 - 130,98,17:0 to 18:11,Well Above Average
age,LWC,64,67,137,130,122 - 130,120 - 130,98,17:0 to 18:11,Well Above Average
age,LWC,64,67,138,130,122 - 130,120 - 130,98,17:0 to 18:11,Well Above Average
age,LWC,64,67,139,130,122 - 130,120 - 130,98,17:0 to 18:11,Well Above Average
age,LWC,64,67,140,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,141,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,142,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,143,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,144,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,145,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,146,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,147,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,148,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,149,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,150,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,151,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,152,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,153,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,154,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,155,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,156,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,157,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,158,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,159,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,160,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,161,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,162,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,163,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,164,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,165,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,166,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,167,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,64,67,168,130,122 - 130,120 - 130,98,> stop age,Well Above Average
age,LWC,68,71,29,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,30,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,31,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,32,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,33,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,34,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,35,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,36,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,37,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,38,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,39,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,40,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,41,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,42,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,43,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,44,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,45,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,46,40,40 - 48,40 - 50,<.1,< Start age,Significantly Below Average
age,LWC,68,71,47,41,40 - 49,40 - 51,<.1,< Start age,Significantly Below Average
age,LWC,68,71,48,42,40 - 50,40 - 52,<.1,< Start age,Significantly Below Average
age,LWC,68,71,49,44,40 - 52,40 - 54,<.1,< Start age,Significantly Below Average
age,LWC,68,71,50,45,40 - 53,40 - 55,<.1,< Start age,Significantly Below Average
age,LWC,68,71,51,46,40 - 54,40 - 56,<.1,< Start age,Significantly Below Average
age,LWC,68,71,52,47,40 - 55,40 - 57,<.1,< Start age,Significantly Below Average
age,LWC,68,71,53,48,40 - 56,40 - 58,<.1,< Start age,Significantly Below Average
age,LWC,68,71,54,49,41 - 57,40 - 59,<.1,< Start age,Significantly Below Average
age,LWC,68,71,55,51,43 - 59,41 - 61,0.1,< Start age,Significantly Below Average
age,LWC,68,71,56,52,44 - 60,42 - 62,0.1,< Start age,Significantly Below Average
age,LWC,68,71,57,53,45 - 61,43 - 63,0.1,< Start age,Significantly Below Average
age,LWC,68,71,58,54,46 - 62,44 - 64,0.1,< Start age,Significantly Below Average
age,LWC,68,71,59,55,47 - 63,45 - 65,0.1,< Start age,Significantly Below Average
age,LWC,68,71,60,57,49 - 65,47 - 67,0.2,< Start age,Significantly Below Average
age,LWC,68,71,61,58,50 - 66,48 - 68,0.3,< Start age,Significantly Below Average
age,LWC,68,71,62,59,51 - 67,49 - 69,0.3,< Start age,Significantly Below Average
age,LWC,68,71,63,60,52 - 68,50 - 70,0.4,< Start age,Significantly Below Average
age,LWC,68,71,64,62,54 - 70,52 - 72,1,< Start age,Significantly Below Average
age,LWC,68,71,65,63,55 - 71,53 - 73,1,< Start age,Significantly Below Average
age,LWC,68,71,66,64,56 - 72,54 - 74,1,< Start age,Significantly Below Average
age,LWC,68,71,67,65,57 - 73,55 - 75,1,< Start age,Significantly Below Average
age,LWC,68,71,68,66,58 - 74,56 - 76,1,< Start age,Significantly Below Average
age,LWC,68,71,69,68,60 - 76,58 - 78,2,< Start age,Significantly Below Average
age,LWC,68,71,70,69,61 - 77,59 - 79,2,< Start age,Significantly Below Average
age,LWC,68,71,71,70,62 - 78,60 - 80,2,< Start age,Well Below Average
age,LWC,68,71,72,71,63 - 79,61 - 81,3,< Start age,Well Below Average
age,LWC,68,71,73,73,65 - 81,63 - 83,4,< Start age,Well Below Average
age,LWC,68,71,74,74,66 - 82,64 - 84,4,< Start age,Well Below Average
age,LWC,68,71,75,75,67 - 83,65 - 85,5,< Start age,Well Below Average
